date,symbol,dt_last_refreshed,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d
2020-03-13,VXX,2026-05-08,US/Eastern,40.65,49.43,32.77,43.2,313499646,2.55,6.27,44.87,-55.78,16.66,0.39,40.98,-46.3,22.12,20.09
2020-03-20,VXX,2026-05-08,US/Eastern,55.0,78.84,51.54,60.55,312410397,5.55,10.09,40.16,-38.02,27.3,0.45,49.64,-0.35,28.45,21.14
2020-03-27,VXX,2026-05-08,US/Eastern,57.37,59.04,39.5,50.6,155174811,-6.77,-11.8,-16.43,-48.21,19.54,0.39,34.06,-50.33,33.63,21.93
2020-04-03,VXX,2026-05-08,US/Eastern,50.52,51.9,45.0,45.45,130476736,-5.07,-10.04,-10.18,-53.48,6.9,0.15,13.66,-15.92,38.19,22.62
2020-04-09,VXX,2026-05-08,US/Eastern,42.11,43.72,40.78,41.57,91875092,-0.54,-1.28,-8.54,-57.45,2.94,0.07,6.98,-29.59,42.0,23.24
2020-04-17,VXX,2026-05-08,US/Eastern,41.3,42.43,37.0,39.05,89815544,-2.25,-5.45,-6.06,-60.03,5.43,0.14,13.15,-2.24,44.32,23.76
2020-04-24,VXX,2026-05-08,US/Eastern,41.17,48.15,40.13,41.52,94580112,0.35,0.85,6.33,-57.5,8.02,0.19,19.48,5.3,45.99,24.33
2020-05-01,VXX,2026-05-08,US/Eastern,40.46,42.07,35.85,41.19,103155469,0.73,1.8,-0.79,-57.84,6.22,0.15,15.37,9.07,45.7,24.9
2020-05-08,VXX,2026-05-08,US/Eastern,42.58,43.0,34.95,34.95,83305234,-7.63,-17.92,-15.15,-64.23,8.05,0.23,18.91,-19.24,42.05,25.3
2020-05-15,VXX,2026-05-08,US/Eastern,35.89,42.86,31.42,36.6,146063469,0.71,1.98,4.72,-62.54,11.44,0.31,31.88,75.34,40.05,25.81
2020-05-22,VXX,2026-05-08,US/Eastern,34.1,36.1,33.35,34.35,120183407,0.25,0.73,-6.15,-64.84,2.75,0.08,8.06,-17.72,38.46,26.3
2020-05-29,VXX,2026-05-08,US/Eastern,32.73,35.35,32.62,33.13,101530346,0.4,1.22,-3.55,-66.09,2.73,0.08,8.34,-15.52,37.26,26.77
2020-06-05,VXX,2026-05-08,US/Eastern,34.06,34.19,28.83,29.17,118865812,-4.89,-14.36,-11.95,-70.14,5.36,0.18,15.74,17.07,35.84,27.12
2020-06-12,VXX,2026-05-08,US/Eastern,29.02,45.03,28.96,38.71,242004414,9.69,33.39,32.7,-60.38,16.07,0.42,55.38,103.59,35.44,27.83
