date,symbol,timezone,open,high,low,close,volume,daily_change,intraday_return_pct,daily_return_pct,cumulative_return_pct,intraday_volatility_abs,volatility_ratio,intraday_volatility_pct,volume_change_pct,moving_avg_7d,moving_avg_30d,dt_last_refreshed
9/12/08,VTI,US/Eastern,64.39,64.42,60.95,63.09,7741100,-1.3,-2.02,0.85,-45.8,3.47,0.06,5.39,5.47,64.17,104.43,
9/19/08,VTI,US/Eastern,61.2,63.42,57.27,63.42,15918000,2.22,3.63,0.52,-45.52,6.15,0.1,10.05,105.63,64.18,102.07,
9/26/08,VTI,US/Eastern,63.14,63.2,59.38,60.86,14561000,-2.28,-3.61,-4.04,-47.71,3.82,0.06,6.05,-8.52,63.58,99.67,
10/3/08,VTI,US/Eastern,59.88,60.05,54.63,54.82,15614400,-5.06,-8.45,-9.92,-52.9,5.42,0.1,9.05,7.23,62.06,97.22,
10/10/08,VTI,US/Eastern,53.3,53.44,41.72,44.35,29810800,-8.95,-16.79,-19.1,-61.9,11.72,0.26,21.99,90.92,59.1,94.42,
10/17/08,VTI,US/Eastern,47.05,53.5,42.95,46.6,28758900,-0.45,-0.96,5.07,-59.97,10.55,0.23,22.42,-3.53,56.53,91.6,
10/24/08,VTI,US/Eastern,47.58,49,41.4,43.24,33807300,-4.34,-9.12,-7.21,-62.85,7.6,0.18,15.97,17.55,53.77,88.7,
10/31/08,VTI,US/Eastern,42.5,48.79,41.63,48.16,72569500,5.66,13.32,11.38,-58.63,7.16,0.15,16.85,114.66,51.64,85.78,
11/7/08,VTI,US/Eastern,48.06,49.89,44.67,46.11,78521000,-1.95,-4.06,-4.26,-60.39,5.22,0.11,10.86,8.2,49.16,82.9,
11/14/08,VTI,US/Eastern,47.17,47.28,40.44,43.15,116987300,-4.02,-8.52,-6.42,-62.93,6.84,0.16,14.5,48.99,46.63,79.75,
11/21/08,VTI,US/Eastern,42.57,43.59,36.32,39.29,96363900,-3.28,-7.7,-8.95,-66.25,7.27,0.19,17.08,-17.63,44.41,76.44,
11/28/08,VTI,US/Eastern,40,44.3,39.68,44.3,98509000,4.3,10.75,12.75,-61.94,4.62,0.1,11.55,2.23,44.41,73.24,
12/5/08,VTI,US/Eastern,43.09,43.45,40.2,43.21,70227700,0.12,0.28,-2.46,-62.88,3.25,0.08,7.54,-28.71,43.92,70.07,
12/12/08,VTI,US/Eastern,44.45,45.41,42,43.72,42932100,-0.73,-1.64,1.18,-62.44,3.41,0.08,7.67,-38.87,43.99,66.79,
12/19/08,VTI,US/Eastern,43.91,45.69,42.45,44.11,40109600,0.2,0.46,0.89,-62.1,3.24,0.07,7.37,-6.57,43.41,63.69,
12/26/08,VTI,US/Eastern,43.96,43.97,42.36,43.32,25545500,-0.64,-1.46,-1.79,-62.78,1.61,0.04,3.66,-36.31,43.01,60.46,
1/2/09,VTI,US/Eastern,43.25,46.26,42.36,46.03,28735100,2.78,6.43,6.26,-60.46,3.9,0.08,9.01,12.49,43.43,57.43,
