DataSource,Country,Reason
CO2 Emissions,South Africa,Found only in UNEP
CO2 Emissions,South Sudan,Found only in UNEP
CO2 Emissions,Sri Lanka,Found only in UNEP
CO2 Emissions,State of Palestine,Found only in UNEP
CO2 Emissions,Sudan,Found only in UNEP
CO2 Emissions,Syrian Arab Republic,Found only in UNEP
CO2 Emissions,Tajikistan,Found only in UNEP
CO2 Emissions,Tokelau,Found only in UNEP
CO2 Emissions,Tonga,Found only in UNEP
CO2 Emissions,Trinidad and Tobago,Found only in UNEP
CO2 Emissions,Tunisia,Found only in UNEP
CO2 Emissions,Turkmenistan,Found only in UNEP
CO2 Emissions,Turks and Caicos Islands,Found only in UNEP
CO2 Emissions,Tuvalu,Found only in UNEP
CO2 Emissions,Uganda,Found only in UNEP
CO2 Emissions,United Arab Emirates,Found only in UNEP
CO2 Emissions,United Rep. of Tanzania,Found only in UNEP
CO2 Emissions,United States Virgin Islands,Found only in UNEP
CO2 Emissions,Uzbekistan,Found only in UNEP
CO2 Emissions,Vanuatu,Found only in UNEP
CO2 Emissions,Wallis and Futuna Islands,Found only in UNEP
CO2 Emissions,Western Sahara,Found only in UNEP
CO2 Emissions,Yemen,Found only in UNEP
CO2 Emissions,Zambia,Found only in UNEP
CO2 Emissions,Zimbabwe,Found only in UNEP
GDP per Capita,Anguilla,Found only in UNEP
GDP per Capita,"Bonaire, St. Eustatius & Saba",Found only in UNEP
GDP per Capita,British Virgin Islands,Found only in UNEP
GDP per Capita,Cook Islands,Found only in UNEP
GDP per Capita,Dem. People's Rep. Korea,Found only in UNEP
GDP per Capita,Eritrea,Found only in UNEP
GDP per Capita,Falkland Islands (Malvinas),Found only in UNEP
GDP per Capita,French Guiana,Found only in UNEP
GDP per Capita,Gibraltar,Found only in UNEP
GDP per Capita,Guadeloupe,Found only in UNEP
GDP per Capita,Holy See,Found only in UNEP
GDP per Capita,Martinique,Found only in UNEP
GDP per Capita,Mayotte,Found only in UNEP
GDP per Capita,Montserrat,Found only in UNEP
GDP per Capita,Niue,Found only in UNEP
GDP per Capita,Réunion,Found only in UNEP
GDP per Capita,Saint Barthélemy,Found only in UNEP
GDP per Capita,Saint Helena,Found only in UNEP
GDP per Capita,Saint Pierre and Miquelon,Found only in UNEP
GDP per Capita,State of Palestine,Found only in UNEP
GDP per Capita,Tokelau,Found only in UNEP
GDP per Capita,Wallis and Futuna Islands,Found only in UNEP
GDP per Capita,Western Sahara,Found only in UNEP
Income Group,Anguilla,Found only in UNEP
Income Group,"Bonaire, St. Eustatius & Saba",Found only in UNEP
Income Group,Cook Islands,Found only in UNEP
Income Group,Falkland Islands (Malvinas),Found only in UNEP
Income Group,French Guiana,Found only in UNEP
Income Group,Guadeloupe,Found only in UNEP
Income Group,Holy See,Found only in UNEP
Income Group,Martinique,Found only in UNEP
Income Group,Mayotte,Found only in UNEP
Income Group,Montserrat,Found only in UNEP
Income Group,Niue,Found only in UNEP
Income Group,Réunion,Found only in UNEP
Income Group,Saint Barthélemy,Found only in UNEP
Income Group,Saint Helena,Found only in UNEP
Income Group,Saint Pierre and Miquelon,Found only in UNEP
Income Group,State of Palestine,Found only in UNEP
Income Group,Tokelau,Found only in UNEP
Income Group,Wallis and Futuna Islands,Found only in UNEP
Income Group,Western Sahara,Found only in UNEP
Population Density,Anguilla,Found only in UNEP
Population Density,"Bonaire, St. Eustatius & Saba",Found only in UNEP
Population Density,Cook Islands,Found only in UNEP
Population Density,Falkland Islands (Malvinas),Found only in UNEP
Population Density,French Guiana,Found only in UNEP
Population Density,Guadeloupe,Found only in UNEP
Population Density,Holy See,Found only in UNEP
Population Density,Martinique,Found only in UNEP
Population Density,Mayotte,Found only in UNEP
Population Density,Montserrat,Found only in UNEP
Population Density,Niue,Found only in UNEP
Population Density,Réunion,Found only in UNEP
Population Density,Saint Barthélemy,Found only in UNEP
Population Density,Saint Helena,Found only in UNEP
Population Density,Saint Pierre and Miquelon,Found only in UNEP
Population Density,State of Palestine,Found only in UNEP
Population Density,Tokelau,Found only in UNEP
Population Density,Wallis and Futuna Islands,Found only in UNEP
Population Density,Western Sahara,Found only in UNEP
Temperature,Anguilla,Found only in UNEP
Temperature,Bermuda,Found only in UNEP
Temperature,"Bonaire, St. Eustatius & Saba",Found only in UNEP
Temperature,British Virgin Islands,Found only in UNEP
Temperature,Brunei Darussalam,Found only in UNEP
Temperature,Cook Islands,Found only in UNEP
Temperature,Curaçao,Found only in UNEP
Temperature,Côte d’Ivoire,Found only in UNEP
Temperature,Dem. Rep. of the Congo,Found only in UNEP
Temperature,Eswatini,Found only in UNEP
Temperature,Falkland Islands (Malvinas),Found only in UNEP
Temperature,French Guiana,Found only in UNEP
