country_unep,household_year,household_region,household_kg_per_capita_year,household_tonnes_year,household_confidence,food_service_year,food_service_kg_per_capita_year,food_service_tonnes_year,food_service_confidence,retail_year,retail_kg_per_capita_year,retail_tonnes_year,retail_confidence,average_temperature,temperature_year,temperature_unit,income_year,income_region,income_group,income_lending_category,gdp_per_capita_year,gdp_per_capita,population_density_year,population_density,tourism_arrivals_year,tourism_arrivals,access_to_electricity_year,access_to_electricity,total_population_year,total_population,total_food_waste_kg_per_capita_year,total_food_waste_tonnes_year,household_share_pct,food_service_share_pct,retail_share_pct,main_contributing_sector,tourists_per_resident,income_rank,population_size_category,temperature_band,gdp_per_capita_category,coverage_score,sector_share_total
Curaçao,2024,Latin America and the Caribbean,88,16724.0,Low Confidence,2024,42,8073.0,Very Low Confidence,2024,15,2861.0,Very Low Confidence,,,,2024,Latin America & Caribbean,High Income,,2024,22832.8953958667,2023,348.31981981982,2019,1293000.0,2023,100.0,2024,155967.0,145,27658.0,60.47,29.19,10.34,Household,8.29,4,Very Small (<1M),,Upper-Middle GDP per Capita,8,100.0
Dominica,2024,Latin America and the Caribbean,91,6394.0,Low Confidence,2024,48,3328.0,Very Low Confidence,2024,19,1330.0,Very Low Confidence,27.2,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,Blend,2024,10405.2787777582,2023,88.68,2020,140000.0,2023,100.0,2024,66205.0,158,11052.0,57.85,30.11,12.03,Household,2.11,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,99.99000000000001
Dominican Republic,2024,Latin America and the Caribbean,160,1799544.0,Medium Confidence,2024,48,533952.0,Very Low Confidence,2024,19,213427.0,Very Low Confidence,25.26,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,10875.6618443092,2023,235.098143035751,2020,2748000.0,2023,99.6,2024,11427557.0,227,2546923.0,70.66,20.96,8.38,Household,0.24,3,Medium (10M-50M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Ecuador,2024,Latin America and the Caribbean,96,1727535.0,Medium Confidence,2024,48,855845.0,Very Low Confidence,2024,19,342092.0,Very Low Confidence,22.29,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,6874.705739766,2023,72.3952448059269,2019,2108000.0,2023,98.7,2024,18135478.0,163,2925472.0,59.05,29.25,11.69,Household,0.12,3,Medium (10M-50M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,99.99
El Salvador,2024,Latin America and the Caribbean,91,579084.0,Low Confidence,2024,48,301448.0,Very Low Confidence,2024,19,120492.0,Very Low Confidence,25.86,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,5579.65969165029,2023,304.518532818533,2020,707000.0,2023,98.3,2024,6338193.0,158,1001024.0,57.85,30.11,12.04,Household,0.11,3,Small (1M-10M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Falkland Islands (Malvinas),2024,Latin America and the Caribbean,95,,Very Low Confidence,2024,23,,Very Low Confidence,2024,14,,Very Low Confidence,,,,,,,,,,,,,,,,,,132,,,,,No Data,,,,,,2,
French Guiana,2024,Latin America and the Caribbean,95,28375.0,Very Low Confidence,2024,23,6845.0,Very Low Confidence,2024,14,4319.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,39539.0,71.76,17.31,10.92,Household,,,,,,2,99.99000000000001
Grenada,2024,Latin America and the Caribbean,91,11874.0,Low Confidence,2024,48,6181.0,Very Low Confidence,2024,19,2471.0,Very Low Confidence,26.76,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,Blend,2024,11705.0902976658,2023,344.355882352941,2020,217000.0,2023,94.4,2024,117207.0,158,20526.0,57.85,30.11,12.04,Household,1.85,3,Very Small (<1M),Hot (25°C-30°C),Lower-Middle GDP per Capita,9,100.0
Guadeloupe,2024,Latin America and the Caribbean,95,37834.0,Very Low Confidence,2024,23,9127.0,Very Low Confidence,2024,14,5759.0,Very Low Confidence,,,,,,,,,,,,,,,,,,132,52720.0,71.76,17.31,10.92,Household,,,,,,2,99.99000000000001
Guatemala,2024,Latin America and the Caribbean,91,1629472.0,Low Confidence,2024,48,848238.0,Very Low Confidence,2024,19,339051.0,Very Low Confidence,24.38,2024,Celsius,2024,Latin America & Caribbean,Upper Middle Income,IBRD,2024,6150.02571438505,2023,169.138092571855,2020,594000.0,2023,100.0,2024,18406359.0,158,2816761.0,57.85,30.11,12.04,Household,0.03,3,Medium (10M-50M),Warm (20°C-25°C),Lower-Middle GDP per Capita,9,100.0
