DataSource,Country,Reason
GDP per Capita,Europe & Central Asia (excluding high income),Not found in UNEP
GDP per Capita,European Union,Not found in UNEP
GDP per Capita,Fragile and conflict affected situations,Not found in UNEP
GDP per Capita,Heavily indebted poor countries (HIPC),Not found in UNEP
GDP per Capita,High income,Not found in UNEP
GDP per Capita,IBRD only,Not found in UNEP
GDP per Capita,IDA & IBRD total,Not found in UNEP
GDP per Capita,IDA blend,Not found in UNEP
GDP per Capita,IDA only,Not found in UNEP
GDP per Capita,IDA total,Not found in UNEP
GDP per Capita,Kosovo,Not found in UNEP
GDP per Capita,Late-demographic dividend,Not found in UNEP
GDP per Capita,Latin America & Caribbean,Not found in UNEP
GDP per Capita,Latin America & Caribbean (excluding high income),Not found in UNEP
GDP per Capita,Latin America & the Caribbean (IDA & IBRD countries),Not found in UNEP
GDP per Capita,Least developed countries: UN classification,Not found in UNEP
GDP per Capita,Low & middle income,Not found in UNEP
GDP per Capita,Low income,Not found in UNEP
GDP per Capita,Lower middle income,Not found in UNEP
GDP per Capita,"Middle East, North Africa, Afghanistan & Pakistan",Not found in UNEP
GDP per Capita,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Not found in UNEP
GDP per Capita,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Not found in UNEP
GDP per Capita,Middle income,Not found in UNEP
GDP per Capita,North America,Not found in UNEP
GDP per Capita,OECD members,Not found in UNEP
GDP per Capita,Other small states,Not found in UNEP
GDP per Capita,Pacific island small states,Not found in UNEP
GDP per Capita,Post-demographic dividend,Not found in UNEP
GDP per Capita,Pre-demographic dividend,Not found in UNEP
GDP per Capita,Small states,Not found in UNEP
GDP per Capita,South Asia,Not found in UNEP
GDP per Capita,South Asia (IDA & IBRD),Not found in UNEP
GDP per Capita,Sub-Saharan Africa,Not found in UNEP
GDP per Capita,Sub-Saharan Africa (IDA & IBRD countries),Not found in UNEP
GDP per Capita,Sub-Saharan Africa (excluding high income),Not found in UNEP
GDP per Capita,Upper middle income,Not found in UNEP
GDP per Capita,West Bank and Gaza,Not found in UNEP
GDP per Capita,World,Not found in UNEP
Income Group,Channel Islands,Not found in UNEP
Income Group,Kosovo,Not found in UNEP
Income Group,"Taiwan, China",Not found in UNEP
Income Group,West Bank and Gaza,Not found in UNEP
Population Density,Africa Eastern and Southern,Not found in UNEP
Population Density,Africa Western and Central,Not found in UNEP
Population Density,Arab World,Not found in UNEP
Population Density,Caribbean small states,Not found in UNEP
Population Density,Central Europe and the Baltics,Not found in UNEP
Population Density,Channel Islands,Not found in UNEP
Population Density,Early-demographic dividend,Not found in UNEP
Population Density,East Asia & Pacific,Not found in UNEP
Population Density,East Asia & Pacific (IDA & IBRD countries),Not found in UNEP
Population Density,East Asia & Pacific (excluding high income),Not found in UNEP
Population Density,Euro area,Not found in UNEP
Population Density,Europe & Central Asia,Not found in UNEP
Population Density,Europe & Central Asia (IDA & IBRD countries),Not found in UNEP
Population Density,Europe & Central Asia (excluding high income),Not found in UNEP
Population Density,European Union,Not found in UNEP
Population Density,Fragile and conflict affected situations,Not found in UNEP
Population Density,Heavily indebted poor countries (HIPC),Not found in UNEP
Population Density,High income,Not found in UNEP
Population Density,IBRD only,Not found in UNEP
Population Density,IDA & IBRD total,Not found in UNEP
Population Density,IDA blend,Not found in UNEP
Population Density,IDA only,Not found in UNEP
Population Density,IDA total,Not found in UNEP
Population Density,Late-demographic dividend,Not found in UNEP
Population Density,Latin America & Caribbean,Not found in UNEP
Population Density,Latin America & Caribbean (excluding high income),Not found in UNEP
Population Density,Latin America & the Caribbean (IDA & IBRD countries),Not found in UNEP
Population Density,Least developed countries: UN classification,Not found in UNEP
Population Density,Low & middle income,Not found in UNEP
Population Density,Low income,Not found in UNEP
Population Density,Lower middle income,Not found in UNEP
Population Density,"Middle East, North Africa, Afghanistan & Pakistan",Not found in UNEP
Population Density,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Not found in UNEP
Population Density,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Not found in UNEP
Population Density,Middle income,Not found in UNEP
Population Density,North America,Not found in UNEP
Population Density,OECD members,Not found in UNEP
Population Density,Other small states,Not found in UNEP
Population Density,Pacific island small states,Not found in UNEP
Population Density,Post-demographic dividend,Not found in UNEP
Population Density,Pre-demographic dividend,Not found in UNEP
Population Density,Small states,Not found in UNEP
Population Density,South Asia,Not found in UNEP
Population Density,South Asia (IDA & IBRD),Not found in UNEP
Population Density,Sub-Saharan Africa,Not found in UNEP
Population Density,Sub-Saharan Africa (IDA & IBRD countries),Not found in UNEP
Population Density,Sub-Saharan Africa (excluding high income),Not found in UNEP
Population Density,Upper middle income,Not found in UNEP
Population Density,West Bank and Gaza,Not found in UNEP
Population Density,World,Not found in UNEP
Temperature,Ivory Coast,Not found in UNEP
Temperature,Republic of the Congo,Not found in UNEP
Temperature,Swaziland,Not found in UNEP
Temperature,Taiwan,Not found in UNEP
Total Population,Africa Eastern and Southern,Not found in UNEP
Total Population,Africa Western and Central,Not found in UNEP
Total Population,Arab World,Not found in UNEP
Total Population,Caribbean small states,Not found in UNEP
Total Population,Central Europe and the Baltics,Not found in UNEP
Total Population,Channel Islands,Not found in UNEP
Total Population,Early-demographic dividend,Not found in UNEP
Total Population,East Asia & Pacific,Not found in UNEP
Total Population,East Asia & Pacific (IDA & IBRD countries),Not found in UNEP
Total Population,East Asia & Pacific (excluding high income),Not found in UNEP
Total Population,Euro area,Not found in UNEP
Total Population,Europe & Central Asia,Not found in UNEP
Total Population,Europe & Central Asia (IDA & IBRD countries),Not found in UNEP
Total Population,Europe & Central Asia (excluding high income),Not found in UNEP
Total Population,European Union,Not found in UNEP
Total Population,Fragile and conflict affected situations,Not found in UNEP
Total Population,Heavily indebted poor countries (HIPC),Not found in UNEP
Total Population,High income,Not found in UNEP
Total Population,IBRD only,Not found in UNEP
Total Population,IDA & IBRD total,Not found in UNEP
Total Population,IDA blend,Not found in UNEP
Total Population,IDA only,Not found in UNEP
Total Population,IDA total,Not found in UNEP
Total Population,Kosovo,Not found in UNEP
Total Population,Late-demographic dividend,Not found in UNEP
Total Population,Latin America & Caribbean,Not found in UNEP
Total Population,Latin America & Caribbean (excluding high income),Not found in UNEP
Total Population,Latin America & the Caribbean (IDA & IBRD countries),Not found in UNEP
Total Population,Least developed countries: UN classification,Not found in UNEP
Total Population,Low & middle income,Not found in UNEP
Total Population,Low income,Not found in UNEP
Total Population,Lower middle income,Not found in UNEP
Total Population,"Middle East, North Africa, Afghanistan & Pakistan",Not found in UNEP
Total Population,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Not found in UNEP
Total Population,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Not found in UNEP
Total Population,Middle income,Not found in UNEP
Total Population,North America,Not found in UNEP
Total Population,OECD members,Not found in UNEP
