DataSource,Country,Reason
Access to Electricity,Marshall Islands,Direct Match
Access to Electricity,Mauritania,Direct Match
Access to Electricity,Mauritius,Direct Match
Access to Electricity,Mexico,Direct Match
Access to Electricity,Monaco,Direct Match
Access to Electricity,Mongolia,Direct Match
Access to Electricity,Montenegro,Direct Match
Access to Electricity,Morocco,Direct Match
Access to Electricity,Mozambique,Direct Match
Access to Electricity,Myanmar,Direct Match
Access to Electricity,Namibia,Direct Match
Access to Electricity,Nauru,Direct Match
Access to Electricity,Nepal,Direct Match
Access to Electricity,Netherlands,Direct Match
Access to Electricity,New Caledonia,Direct Match
Access to Electricity,New Zealand,Direct Match
Access to Electricity,Nicaragua,Direct Match
Access to Electricity,Niger,Direct Match
Access to Electricity,Nigeria,Direct Match
Access to Electricity,North Macedonia,Direct Match
Access to Electricity,Northern Mariana Islands,Direct Match
Access to Electricity,Norway,Direct Match
Access to Electricity,Oman,Direct Match
Access to Electricity,Pakistan,Direct Match
Access to Electricity,Palau,Direct Match
Access to Electricity,Panama,Direct Match
Access to Electricity,Papua New Guinea,Direct Match
Access to Electricity,Paraguay,Direct Match
Access to Electricity,Peru,Direct Match
Access to Electricity,Philippines,Direct Match
Access to Electricity,Poland,Direct Match
Access to Electricity,Portugal,Direct Match
Access to Electricity,Qatar,Direct Match
Access to Electricity,Romania,Direct Match
Access to Electricity,Russian Federation,Direct Match
Access to Electricity,Rwanda,Direct Match
Access to Electricity,Samoa,Direct Match
Access to Electricity,San Marino,Direct Match
Access to Electricity,Sao Tome and Principe,Direct Match
Access to Electricity,Saudi Arabia,Direct Match
Access to Electricity,Senegal,Direct Match
Access to Electricity,Serbia,Direct Match
Access to Electricity,Seychelles,Direct Match
Access to Electricity,Sierra Leone,Direct Match
Access to Electricity,Singapore,Direct Match
Access to Electricity,Sint Maarten (Dutch part),Direct Match
Access to Electricity,Slovenia,Direct Match
Access to Electricity,Solomon Islands,Direct Match
Access to Electricity,South Africa,Direct Match
Access to Electricity,South Sudan,Direct Match
Access to Electricity,Spain,Direct Match
Access to Electricity,Sri Lanka,Direct Match
Access to Electricity,Sudan,Direct Match
Access to Electricity,Suriname,Direct Match
Access to Electricity,Sweden,Direct Match
